Direction,Random_within_format,Background,Format,Stimulus_Practice,Number,Random_format_order,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,left_schema_19_WHI.jpg,left,19,schema,,,,,,,,,0,13,13,13,,,,,,,,,j,0.0669316587737,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_schema_17_WHI.jpg,left,17,schema,,,,,,,,,0,14,14,14,,,,,,,,,f,0.0504349957919,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_schema_15_WHI.jpg,right,15,schema,,,,,,,,,0,15,15,15,,,,,,,,,j,0.0506201937678,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_schema_18_WHI.jpg,left,18,schema,,,,,,,,,0,16,16,16,,,,,,,,,f,0.0512272803462,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_schema_4_WHI.jpg,right,4,schema,,,,,,,,,0,17,17,17,,,,,,,,,j,0.016952489852,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_schema_14_WHI.jpg,ahead,14,schema,,,,,,,,,0,18,18,18,,,,,,,,,f,0.0675115361228,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_schema_21_WHI.jpg,right,21,schema,,,,,,,,,0,19,19,19,,,,,,,,,j,0.0350348921493,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_schema_20_WHI.jpg,ahead,20,schema,,,,,,,,,0,20,20,20,,,,,,,,,f,0.0682575942483,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_image_10_WHI.jpg,right,10,image,,,,,,,,,0,21,21,21,,,,,,,,,j,0.0170516716898,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_image_1_WHI.jpg,right,1,image,,,,,,,,,0,22,22,22,,,,,,,,,f,0.0173111828626,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_image_21_WHI.jpg,ahead,21,image,,,,,,,,,0,23,23,23,,,,,,,,,j,0.0512588780839,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_image_13_WHI.jpg,right,13,image,,,,,,,,,0,24,24,24,,,,,,,,,f,0.000937400152907,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_image_19_WHI.jpg,left,19,image,,,,,,,,,0,25,25,25,,,,,,,,,j,0.0678883686196,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_image_17_WHI.jpg,right,17,image,,,,,,,,,0,26,26,26,,,,,,,,,f,0.0176014141762,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_image_16_WHI.jpg,left,16,image,,,,,,,,,0,27,27,27,,,,,,,,,j,0.000239616376348,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_image_12_WHI.jpg,right,12,image,,,,,,,,,0,28,28,28,,,,,,,,,f,0.0841223020689,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_image_5_WHI.jpg,left,5,image,,,,,,,,,0,29,29,29,,,,,,,,,j,0.0337250480079,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_image_20_WHI.jpg,left,20,image,,,,,,,,,0,30,30,30,,,,,,,,,f,0.0340673570172,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_image_9_WHI.jpg,left,9,image,,,,,,,,,0,31,31,31,,,,,,,,,j,0.0509639657103,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_image_7_WHI.jpg,ahead,7,image,,,,,,,,,0,32,32,32,,,,,,,,,f,0.0169428349473,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_image_12_WHI.jpg,ahead,12,image,,,,,,,,,0,33,33,33,,,,,,,,,j,0.0679433721234,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_image_9_WHI.jpg,ahead,9,image,,,,,,,,,0,34,34,34,,,,,,,,,f,0.000446464633569,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_image_2_WHI.jpg,ahead,2,image,,,,,,,,,0,35,35,35,,,,,,,,,j,0.0677256986964,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_image_3_WHI.jpg,ahead,3,image,,,,,,,,,0,36,36,36,,,,,,,,,f,0.0169776510447,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_image_11_WHI.jpg,ahead,11,image,,,,,,,,,0,37,37,37,,,,,,,,,j,0.051068413828,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_image_7_WHI.jpg,right,7,image,,,,,,,,,0,38,38,38,,,,,,,,,f,0.0178939860198,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_image_21_WHI.jpg,right,21,image,,,,,,,,,0,39,39,39,,,,,,,,,j,0.0168582816841,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_image_17_WHI.jpg,left,17,image,,,,,,,,,0,40,40,40,,,,,,,,,f,0.0688734579599,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_image_14_WHI.jpg,left,14,image,,,,,,,,,0,41,41,41,,,,,,,,,j,0.000232594611589,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_word_14_WHI.jpg,ahead,14,word,,,,,,,,,0,42,42,42,,,,,,,,,f,0.0511541373562,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_word_18_WHI.jpg,left,18,word,,,,,,,,,0,43,43,43,,,,,,,,,j,0.0524666146375,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_word_12_WHI.jpg,ahead,12,word,,,,,,,,,0,44,44,44,,,,,,,,,f,0.0337297291844,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_word_2_WHI.jpg,left,2,word,,,,,,,,,0,45,45,45,,,,,,,,,j,0.0678462382639,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_word_8_WHI.jpg,right,8,word,,,,,,,,,0,46,46,46,,,,,,,,,f,0.0336565861944,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_word_1_WHI.jpg,ahead,1,word,,,,,,,,,0,47,47,47,,,,,,,,,j,0.0680282179965,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
