15.1884 	ERROR 	avbin.dll failed to load.
                     Try importing psychopy.visual as the first library
                     (before anything that uses scipy)
                     and make sure that avbin is installed.
72.2221 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#2c7bb6', fillColorSpace='hex', fillRGB=array([ 44, 123, 182]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
72.2356 	EXP 	text_9: autoDraw = False
72.2356 	EXP 	text_same_practice: autoDraw = False
72.2356 	EXP 	unnamed Polygon: autoDraw = False
72.2356 	EXP 	text_same_practice: text = ''
72.2356 	EXP 	text_9: autoDraw = True
72.2356 	EXP 	text_same_practice: autoDraw = True
72.4196 	DATA 	Keypress: f
72.4204 	EXP 	New trial (rep=1, index=2): {u'color': u'#fdae61', u'answer': u'o'}
72.4262 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#fdae61', fillColorSpace='hex', fillRGB=array([253, 174,  97]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
72.4522 	EXP 	text_9: autoDraw = False
72.4522 	EXP 	text_same_practice: autoDraw = False
72.4522 	EXP 	unnamed Polygon: autoDraw = False
72.4522 	EXP 	text_same_practice: text = 'SAME?'
72.4522 	EXP 	text_9: autoDraw = True
72.4522 	EXP 	text_same_practice: autoDraw = True
72.6364 	DATA 	Keypress: a
72.6373 	EXP 	New trial (rep=1, index=3): {u'color': u'#fdae61', u'answer': u'o'}
72.6396 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#fdae61', fillColorSpace='hex', fillRGB=array([253, 174,  97]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
72.6528 	EXP 	text_9: autoDraw = False
72.6528 	EXP 	text_same_practice: autoDraw = False
72.6528 	EXP 	unnamed Polygon: autoDraw = False
72.6528 	EXP 	text_same_practice: text = ''
72.6528 	EXP 	text_9: autoDraw = True
72.6528 	EXP 	text_same_practice: autoDraw = True
72.8357 	DATA 	Keypress: f
72.8365 	EXP 	New trial (rep=1, index=4): {u'color': u'#2c7bb6', u'answer': u'b'}
72.8421 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#2c7bb6', fillColorSpace='hex', fillRGB=array([ 44, 123, 182]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
72.8693 	EXP 	text_9: autoDraw = False
72.8693 	EXP 	text_same_practice: autoDraw = False
72.8693 	EXP 	unnamed Polygon: autoDraw = False
72.8693 	EXP 	text_same_practice: text = 'SAME?'
72.8693 	EXP 	text_9: autoDraw = True
72.8693 	EXP 	text_same_practice: autoDraw = True
73.0191 	DATA 	Keypress: a
73.0204 	EXP 	New trial (rep=1, index=5): {u'color': u'#d7191c', u'answer': u'r'}
73.0237 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#d7191c', fillColorSpace='hex', fillRGB=array([215,  25,  28]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
73.0520 	EXP 	text_9: autoDraw = False
73.0520 	EXP 	text_same_practice: autoDraw = False
73.0520 	EXP 	unnamed Polygon: autoDraw = False
73.0520 	EXP 	text_same_practice: text = ''
73.0520 	EXP 	text_9: autoDraw = True
73.0520 	EXP 	text_same_practice: autoDraw = True
73.2193 	DATA 	Keypress: f
73.2201 	EXP 	New trial (rep=1, index=6): {u'color': u'#d7191c', u'answer': u'r'}
73.2256 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#d7191c', fillColorSpace='hex', fillRGB=array([215,  25,  28]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
73.2509 	EXP 	text_9: autoDraw = False
73.2509 	EXP 	text_same_practice: autoDraw = False
73.2509 	EXP 	unnamed Polygon: autoDraw = False
73.2509 	EXP 	text_same_practice: text = 'SAME?'
73.2509 	EXP 	text_9: autoDraw = True
73.2509 	EXP 	text_same_practice: autoDraw = True
73.3855 	DATA 	Keypress: a
73.3879 	EXP 	New trial (rep=1, index=7): {u'color': u'#2c7bb6', u'answer': u'b'}
73.4267 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#2c7bb6', fillColorSpace='hex', fillRGB=array([ 44, 123, 182]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
73.4511 	EXP 	text_9: autoDraw = False
73.4511 	EXP 	text_same_practice: autoDraw = False
73.4511 	EXP 	unnamed Polygon: autoDraw = False
73.4511 	EXP 	text_same_practice: text = ''
73.4511 	EXP 	text_9: autoDraw = True
73.4511 	EXP 	text_same_practice: autoDraw = True
73.5689 	DATA 	Keypress: f
73.5714 	EXP 	New trial (rep=1, index=8): {u'color': u'#d7191c', u'answer': u'r'}
73.5893 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#d7191c', fillColorSpace='hex', fillRGB=array([215,  25,  28]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
73.6176 	EXP 	text_9: autoDraw = False
73.6176 	EXP 	text_same_practice: autoDraw = False
73.6176 	EXP 	unnamed Polygon: autoDraw = False
73.6176 	EXP 	text_same_practice: text = 'SAME?'
73.6176 	EXP 	text_9: autoDraw = True
73.6176 	EXP 	text_same_practice: autoDraw = True
73.7520 	DATA 	Keypress: a
73.9272 	EXP 	New trial (rep=1, index=0): None
73.9510 	DATA 	Keypress: f
73.9738 	EXP 	text_9: autoDraw = False
73.9738 	EXP 	text_same_practice: autoDraw = False
73.9738 	EXP 	unnamed Polygon: autoDraw = False
73.9738 	EXP 	text_6: text = 'Ok, before we practice one more time - do you have any questions about the task?'
73.9738 	EXP 	text_6: autoDraw = True
74.1243 	DATA 	Keypress: a
74.4413 	DATA 	Keypress: d
74.4523 	EXP 	Imported Sequences\color_practice.xlsx as conditions, 9 conditions, 2 params
74.4528 	EXP 	Created sequence: random, trialTypes=9, nReps=2, seed=None
74.4531 	EXP 	New trial (rep=0, index=0): {u'color': u'#d7191c', u'answer': u'r'}
74.4559 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#d7191c', fillColorSpace='hex', fillRGB=array([215,  25,  28]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
74.4729 	EXP 	text_6: autoDraw = False
74.4729 	EXP 	text_same_practice: text = ''
74.4729 	EXP 	text_9: autoDraw = True
74.4729 	EXP 	text_same_practice: autoDraw = True
74.6906 	DATA 	Keypress: f
74.6930 	EXP 	New trial (rep=0, index=1): {u'color': u'#2c7bb6', u'answer': u'b'}
74.7086 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#2c7bb6', fillColorSpace='hex', fillRGB=array([ 44, 123, 182]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
74.7403 	EXP 	text_9: autoDraw = False
